"Narrative","label"
" i want to import xls lists  source xls process scanner  connection to your usb process manager yellowwhite  current driver for the usb process manager installed  system windows  your program warehouse sales firstclass wh ultimate download version my various attempts to import a sequence failed  although i have already read various comments on your helpdesk pages and tried some things  in the program  when i call the import task  i see the message that i should connect my xls scanner to the cash  process or accounting system of the pc  i now want to try this out  do you have a tip for me which attachment i should use only for this purpose with my pc  greetings  balduin funes p  s  it worked about  years ago when i still had an old computer with windows and your software processes in office catalog  and the black process manager  ","4"
" dear sir or madam  i have windows  homepremium  bit version as operating system  unfortunately  my warehouse processes for office  no longer work  i would like to bring processes and dvds on my office computer and also on the laptop pc of my secretary  can you show me a solution and offer  my secretary works with w hp bit version thanks in advance and best regards  ","4"
" hello  my beloved tool warehouse processes in office catalog  is limping in one place  i have order number problems with direct creation  the order number value is only created via scanner  only the scanner can be selected as the scan source  i have searched all possible forums and found out that i am missing a driver broadband or stream  the driver is also not to be found under deactivated drivers  i have a notebook catch megatron  with win     installed  experts say  warehouse should provide the required driver  like e  g  with the tool total scanner i ask you for appropriate remedy  with kind regards  august tarkan ","3"
"   the error troubleshooting has occurred when creating the texts and functions  probably four times  i was prompted project   restore project  i then changed the project  name as prompted and was able to continue working until completion  statistics could be created without problems  then came next burn after some time the message troubleshooting x problem in class wmembank  dll  load address xe  at address xefcre exception oxc accessforbidden  next attempt to burn again message troubleshooting problem in class wmembank dll  load address xf rest as above  ","5"
" the online registrationactivation of statistics creator wh  after the start shows green check marks at serial number and email address  but quits with the claim that no internet connection would be possible  sc can only be terminated afterwards  under my warehouse sc is already registered  an activation code cannot be created there  because the identification number from the mail form is not correct  here the data serial number f email address identificationnr scdlx ","6"
" could install statistics laboratory l  but with it i can neither calculate through nor create  tried also to display the sample  ods  and it comes an error message the smartcard device microsoftscancreator cannot create this format  reason unknown external problem  this shows up when merging through an odss  ","4"
" dear sir or madam  my em scanner records the sequences on a card  from there i would like to transfer the sequence to the pc  but the em scanner is not found  what to do  original message have installed the software under windows   nevertheless the em data scanner is not found  have also chosen the way about the compatibility mode incl  download of the burn drivers  no result  question is there an upgrade for windows  or what else can i do  mfg ","4"
" the data sheet i created months ago can no longer be loaded into the program with super specs manager  the message not enough memory appears  all unnecessary programs have been closed  the problem remains  my specification sheet consists of  categories of  files and is    mb in size  ","5"
" when i want to burn my slide show  no burner is displayed  encryption occurs but no burning ","2"
" i have the bit version of windows  and i am very disappointed with the performance of the warehouse sales firstclass wh ultimate  they tell in the advertising with each version now even faster and even faster  the truth  however  is trotslos  your program still can not handle bit systems  i have  x    gh processors and  gb of memory in my computer  there are  megabytes of emv raw data in the overview  so still without any functions  i am working with half power and the program can hardly do a s calculation and if it does  it is so slow that the job cannot be processed  please tell me that this is not all  and one more question how can i ever get the finished sequence about  mb  with functions in emv quality out of the computer  if it shows me the sequence in the overview halting  which configurations  a quick answer would be super  because i would like to present the flow before christmas  jasper beckenbauer ","1"
" at irregular intervals  certain products disappear from the article preview frames  the products are then still in the online folder  and i have to reassign them to the article preview frames  this does not happen with individual products  they are whdt products  between kb and kb why is that  ","1"
" dear sir or madam  when i made my first request in september  i received a recommendation from mr  bergschmidt from the still free helpdesk on       which did not help me  so i list the recommendations again below  i then proceeded as mr  bergschmidt had described and installed all ethernet ieee  drivers available on the windows netbook one by one  first and foremost the gvh alt driver suggested by mr  bergschmidt  unfortunately this did not improve the situation  it still appears only very briefly at the beginning of the planned import from my professional card reader systech mdxxe a single record in the creation window and i can also use the record forward and backward control  but when pressing the creation bottom green button still no data appears and at the end it is displayed that the named but not visible creation does not exist  do you have another idea  should i yet forsten in the net for further driver updates  or does the card reader have to get a firmware update for windows  from systech  on windows xp and vista this runs with warehouse xtra for a long time troublefree with this kartenleser  with kind regards ","4"
" hello warehouse  my version of the warehouse super bill administrator unfortunately no longer works on my new computer  is there a way to make the program run under windows   or a new version  for a tip i would be very grateful inside  because the program works fine under xp  sincerely ","4"
" an error occurred during the conversion of the product data memory ","4"
" hello  i had installed sales xtra l and also worked with it  due to a crash of the pc  cause unknown  i reinstalled windows xp  because even a start in safe mode was not possible  after that i had to reinstall all my programs  also sales xtra l  when i load a crv file now  i cannot calculate it  i get the following message  the smartcard device  none cannot execute this format  reason the currently used gray identifier is not within the allowed range for your system   i also tried to remove all warehouse programs from the pc including old leftovers and reinstalled xtra l  the same message came up again  what can i do to be able to run the processes again  with kind regards ","4"
" hello  i just downloaded the file patchspecsdesigner      enenretail because i have problems with one of my datasheets that i created with specsmanager   but when i want to install the patch  the message comes you have to install specsmanager  first  but i have installed the program  what can i do  furthermore  i have the problem with a product collection on a datasheet of mine  yesterday i noticed that the adverts in the collection change frantically  see the following link this must be a bug with warehouse  i do not know how to fix this bug  i would be very grateful for a quick fix or help  k  krieger ","6"
" hello have volgendes problem i want to esrsellen a new activation code but erlst me not after entering the sernr he tells me i should regestrieren it first i do then he says the serial number you entered has already been used  probably you have already registered  a new registration is not necessary  but i can not create an update and the same have the product s expirations in the office catalog ","6"
" an email address has changed    from to please aendern  have software aud new pc installed  could not register with new address and can zz not burn as well as short prc read in  hope that with new registration everything works  what costs an update from    to     please answer ondrupf ","2"
" have some data and flow editing programs and now a mac ","4"
" hello  i have recently purchased the analysity statistics laboratory   now i want to load one and more statistics files from my accounting  but the following message appears the smartcard device microsoft scancreator cannot create this format  reason the currently used device identifier is not within the allowed range for your system what can i do to avoid just this  what do i have to do   with kind regards  frank drebin ","4"
" i transfer sales processes sales to the pc with warehouse sales firstclass   folgend problem occurs after creating the first project in data format and editing the process  i save it as a project example gelsenkirchenproject  the project file created by the program has the format  wsp  later i load this project again and now create the second project  when i then drag down the new sequence example gelsenkirchenprojekt  dat in overview mode with the maus to attach it to the first sequence  i only get line  data  line  order numbers has disappeared  checking the saved  dat file in explorer shows me that the order number is there  so the flow was copied correctly  what have i done wrong  ","3"
" since your update  funny bubbles appear on my sheet  but i have not reingemacht  ","1"
" after installation  the following error message appears the first time the program is started error in warehouse data memory  it is possible that some functions are not available  error code  uncompleted on request  query input whinstance failed  cannot access dsdirectory  lasterror  all ds functions do not work  ","4"
" request was already made yesterday  today at  oclock still no receipt confirmation  now therefore once again another attempt  according to your description i wanted to install the dvd process manager  failed  installshield reports  unable to finish installation    try via faq downloaded the driver for the yellowwhite dvd process manager via and tried to install it with setup  exe  again failed  same message as above  what should i do now  please give me detailed stepbystep instructions understandable for the layman  otherwise i will have to take your software back to the shop  ","4"
" error a save request is invalid in some program situations  e  g  currently when taking over generated overviews from the overviewcreator  have already set the swap file both automatically and manuallywithout success  ","5"
" have tried several times to burn my product preview with the disc image comes each time error  problem in class wmembank  dll loading addressxfd at address oxffcre exception xd accessforbidden  have sent error log also  have the program new and st time tried to burn  encryption runs about  hrs  did not happen to me with my previous version warehouse   have used products  processes and statistics  ","5"
" dear sir or madam  in the calculation application in the profit target input i always get the error message error parsing xsl data  ","5"
" hello warehouse team  how can i open prc files  or set up a wokit library  your help is totally incomprehensible  with my previouscomputer and the program  everything went smoothly  mfg ","5"
" hello service team  i bought a few days ago warehouse sales firstclass neo emv  yesterday i installed the software  unfortunately the following problem occurred after finishing the installation  which is basically done by itself and took me more than  hours  a window appeared asking me if i want to start warehouse now  i confirmed with yes  the start occurred  the user interface became visible  on top of it was the logo  under which was written in small letters program interface is being updated        i waited further  hours  nothing changed  the windows vista waiting circle kept turning i could not click on the interface  so i aborted the process via the task manager  restarted and tried again  unfortunately with the same success  at no time did a window appear telling me to unlock the software  during the installation i was not told  as described in the manual  if i should be allowed alone or multiple users  now i have bought a program that does not start  therefore i hope now for help  some info about the computer  the used pc gigabyte ut is not connected to the internet and will not be  user program windows vista ultimate  graphic card ati geforce go   element realtek high definition audio   gb ram   gb hard disk  screen resolution  x  pixels  on the computer is already warehouse products in the it and office catalog  as well as the warehouse product organizer  both from  thank you for your help b  aergher ","1"
" i want to install the additional programs of sfc  ultimate  i always get the error message the installation program for xtragood calculage could not be opened on the installation medium       although the dvd is inserted  the programs cannot be installed from dvd either  how can i install the additional programs  ","6"
" dear sir or madam  i sent several friends a password for my online collection  and after about  weeks they could no longer log in  why is this so  with the acer online collection you could always log in as a guest with the assigned password  ","1"
" when installing the dvd driver warehouse dvd process manager  yellowwhite device the following error message appears   unable to finish instullation  the driver is not installed  how can i solve this problem  i would be very grateful for a quick answer  sincerely john quillinger ","4"
" error code  displayed ","6"
" hello  i have owned the process program sales firstclass  ultimate for a long time and have been able to create very good processes  in order to keep up with the latest technology  i bought an mtxcr from systech  the computer was also equipped for the new requirements  no errors occurred during the installation of the program  the process transfer is done with the help of the rat program from systech  now comes my problem  the program of sales firstclass  can no longer be started  only the logo is displayed briefly and the error message error code  appears  unfortunately  i do not know what to do and ask for support in solving this problem  mfg stotz  achim ","1"
" i use processes with prc format and i want to edit them with warehouse and i should install a workit library for this  how do i do that  ","5"
" when creating processes with a hand scanner  there is misalignment between the order number line and the data line  also the supplied function of the program can not solve the problem  also  the problem does not occur regularly  i  e  always  but only sporadically  what is the reason for this and how can this error be solved  could it possibly be due to differently set time zones and the resulting reactions on the part of the hand scanner  ","3"
" the burning process is aborted after encrypting  error log is present error no  f ","5"
" dear mr  meyer  the problems just dont stop  now i load a backup dw or rw the billing stalls  the beginning of the process still works  as soon as the first data or functions are used  the process starts to falter  the loading bar does not run continuously  mfg ","1"
" when exporting or when i want to use the specificationsheet preview  the program shows me native error  no further details about this supposed error  by the way  i use win  and start the program specs manager  collector as administrator  even unmodified designs cannot be exported  ","5"
" sales first class wh cannot be installed on my computer  when installing component   i get the messagea problem occurred while converting your product memory  you will therefore not be able to use your data memory with this software  ","4"
" i can no longer install my addons xtragood corporare  and xtragood calculage in the window enter your serial number because nothing can be entered here  all other entries were ok  i received the upgrade warehouse sales firstclass  ultimate emv only on       i already own warehouse sales firstclass  neo  ","6"
" hello  i suddenly cant import sales files with the  prc file extension anymore  until now it worked without any problems  i did not change anything in the program settings but now i always get a message with the following wording the file type of cusersgigipicturesaugustddt  prc cannot be opened  please check that the affected drive has enough space and is not writeprotected  if you do not have sufficient rights to read and write to this directory  please contact the administrator  so administrator is me  there is still  gb of space on the drive in question  a ","5"
" i cannot burn a dvd  i am suggested a burning procedure update name dllav  dll version      ","2"
" dear sir or madam  i have my sales firstclass  neo with the serial number d now played on a new computer  because the old pc was defective now i wanted to use the program  need for it an activation code  which i should enter according to the internet warehouse i do not know unfortunately tmehr  where it is could i get a new code for it  so that i can use the program again  thank you very much  mfg martin brahms ","6"
" good day i am currently working on a very large project in complete emc  in the project i had about  cwvemx files  however  i then split the process into about processes because of the many files and then merged them back into one project  i want to burn the whole project in complete emv  i clicked on the dvd icon and wanted to burn it to a double layer dvd r fk disc  but after the encryption procedures an error message came up and the burning was aborted  i could also send you the logfile of the problem as an image if that would help  what do you recommend me to do to burn the project in complete emv best on a disc  i have already downloaded the  burn and got the same error message  kind regards ","2"
" in my product preview i want to include small sales processes that were read with a card reader powerread extremescan p   unfortunately  your processing program cannot read the file extension   prc workit that is used in this process  please let us know if the required decryption process can be provided by you and if so  at what price  otherwise  please indicate ways in which i can solve the problem  ","5"
" i have  programs products itofficekatalog firstclass and sales firstclass  and i want to switch to windows   is there any problem for me  ","4"
" win  no connection to the hardware during direct creation ","3"
" mr  has competently answered many of my inquiries so far my inquiry is about the automatic saving of projects  which i have configured in the system to  minutes  is it possible that this does not work  i ask for the following reason at the moment i run quite computationally intensive emc projects  often the program hangs up for about  minute  but then continues to run annoying wait as if nothing had happened  sometimes  however  nothing works at all anymore  then i can only close the program via the task manager quit immediately or turn off the computer brutally  in this case i cant find the backup copies i made  yesterday i completely lost a  megabyte project  is it possible that i just cant find these backups  or are they also lost in the case i described which would be very unfortunate  i cant find them in the backup files either  please also tell me what the last upgrade i downloaded is  it is supposed to improve the performance when working with cwvemx data  i cannot see any improvement  thank you for your answer ","1"
" dear sir or madam i would like to edit prc files of my digital scanner with my warehouse version  unfortunately  this does not work properly  an incredible amount of memory is needed and often and in irregular intervals a message appears which describes that a memory request is invalid and the program has to be closed  in addition  everything is very slow  am i missing an addon  or do i have a wrong decryption method  the card reader is a tankor quotel crd   thanks for your trouble ","5"
" hello helpdesk team  i have connected my chip card reader solarmobile via ethernet to my computer win    bit  however  when creating  i cant jump forward and backward through the data or create anything  windows recognizes the card reader audible by the noise  do you have any advice  many greetings from munich rudolph weltall ","4"
" dear helpdesk team  i have installed my software on the new computer  vista ultimate sp have the following note that concern the network card   the smartcard device scanners temtech high definiti temtech digital import device cannot be opened for billing  reason external problem it would be great if you could please provide a solution  best regards and thank you  installation tetech driver under vista  does this have something to do with the problem  ","4"
" my em card reader is connected via ethernet on a win home ultimate bit pc  it is also visible in the control panel  when creating in salesfirstclass   the error message comes  no connection could be established to the hardware  ","4"
" there is a problem with exporting the specifications sheet before it can be uploaded to the server  furthermore  since this occurrence  there are problems with the display of the specifications sheet in the intranet  some objects are missing at once  it is important to disable the native error message at the end of the export process  ","5"
" today i use for the second time the profit calculation in the product ultimate   and it does not work  when i start the program and enter the profit target  after return i always get error parsing xsl data  i have never used this program  already annoying  ","5"
" hello i have switched to win  and want to create a product cd but my original program does not recognize my burner  ","2"
" it is about warehouse  first class emc  unfortunately  the product could not be registered  apparently because i also registered the program saeles firstclass  neo  nevertheless my question  have a  mb  emv process ready edited  provided with a control template  when burning  the program already reports the following error message when encrypting  wmem reports disk project puild exception v what can i do that the error is fixed  thanks in advance ","5"
" sales firstclass wh  problem when importing process files formats data  xprc with large scope during the import  a conversion of the order number line xls  ods is performed  after the import  the two lines have different scopes  data and order numbers are asynchronous  does not work at all     i have found two solutions myself a external processing statisticsworker of the order number line  copypaste b only the data part is imported  with the program besalesmix available on the internet an order number track is created with the ljg codec and imported into warehouse  deviation significantly smaller  asynchronicity only rarely visible  both solutions are extremely cumbersome    the problem or error has been haunting me since my first sfc release  for years    why do i pay so many euros for each update  is it possible to do the necessary copy automatically and with precise calculation during the import  shouldnt there at least be a hint and a solution suggestion in the manual  mfg leo tolstoy ","3"
" good day  with the dvd burner i regularly burn sequences and edit them in warehouse data path  etc   it often happens that a sequence takes longer under windowsbudgetcreator than under warehouse  current example i have uploaded a process on the internet approx   mb  in budgetcreator it has about  elements  in warehouse only  elements  internet address can you please investigate why warehouse makes several elements disappear here and send me a program correction if necessary  many thanks in advance  kind regards clemens hoffner ","3"
" good day  i have been using some versions of your program product in office catalog for a while  last no    at the moment it could not be opened  error code   have nicely deleted everything  reinstalled  error code remains  why  thank you for your reply as soon as possible  one of your employees thought that i had several versions of warehouse product in office catalog on the device  no  only this one  i had deleted all warehouse data  still it does not work  instead  my pc gives the following warningproblem signature problem event title livekernelevent operating system version                locale id  files describing the problem wd  tmp sysdata  xml version  txt more information about the problem bccode  bcp a bcp eda bcp  bcp  os version  service pack  product  everything worked fine until the failed warehouse opening attempt  please send helpful message  ","1"
" can not install in this new pc sales xtra l  the message appears windows version not supported  the warehouse sales xtra l installation is not possible on unknown  please install another windows version to proceed with warehouse sales xtra l installation  i cant make any sense of this  with kind regards ","4"
" whenever i want to enter my profit from a certain point  the creation jumps to the beginning and the previously created file is replaced  i have found for me a small but tedious solution and that is when i move this blue field forward and press on creation it starts from there dan  now in version  it was so that the creation has always started there  where i had also placed this yellow right going line  i hope you know what i mean  i find really tsend with each new creation again and again to move the file in another place so that it is not replaced and also again this srat and end pointer must move around  can someone please give me some advice  ","1"
" my edited process is successfully burned  however  i cannot execute it  after about  min  end the playback and the dvd goes back to the beginning i have already tried different dvd types and different dvddrives  it does not work  i bought the software sales firstclass on      at ihnn  greetings rdinger fass tellendorfer str    bielefeld tel    ","2"
" st letter dated approx   october dear sir or madam  yesterday i wanted to convert a process with my cr settlements for the first time  but unfortunately i tried  times the pc saved only a  kb version  although the card contained  megabytes and the data could also be seen and read on the pc in the warehouse program  where is the error  your answer on october  hello ms  antje  thank you for contacting us  please try the following click on extensive view in the creation dialog  here   or  device should be selected as statistics creation  please change to any other driver  now set  device again  test if the creation works now   yours sincerely jens mlzer my renewed request from      dear mr  maurer  i am back in germany after two months of professional travel and finally wanted to start transferring my processes  i tried with your suggestion  but nothing changed  that a process of more than  megabyte with  segments is saved as sales simple tyt project or as economy reader statssales with  segments and of course not displayable  also the pdfreadme i can not see what is wrong  as i belong to the working part of the german population  i cant waste my time trying again and again to transfer my processes without seeing any success  i therefore ask for a usable and working instruction what to do and how  preferably step by step  sincerely  anja antje unfortunately  you replied that my ticket was already closed and that i should submit a new request  what i do herewith  source material are older processes  which i have created myself with high quality chip card reader and statements created by the cash register computer  with kind regards anja antje ","4"
" what does the error message  wmem reports disk build exception v  the project has already been burned to dvd  there are no representations  encrypting again brought the error message  ","5"
" hi  i own sales firstclass with serial number s  the product was registered in  and the additional features were unlocked with activation code   when i want to use data  i am prompted for activation  when i try to activate with above code  i get message to register first  when registering  i am told that the above serial number is probably   already registered  but the activation code does not work message code is not correct  i ask for support and for a working recovery code  kind regards sebastian ane ","6"
" the software installation was lengthy  but without problems  the installation of the hardware driver is not possible according to the quick start guide page  for windows xp  changing the  usb ports did nothing either  an upgrade from your helpdesk page of the file        mb as well as the driver usbprocess manager yellowwhite    mb brought no success after the installation  i hope you have a solution for this problem  otherwise i unfortunately have to return your software as not usable to the reseller  ","4"
" when i run a process from antonio deabreu profit calculation to warehouse wh sales  it stalls even though it was calculated by warehouse wh  ","1"
" have  device drivers under windows xp sp asus anger payment process capture and housestyle dss capture for boba process scanner and orbit t fbnt card  both drivers work with other programs like eyefbn or crdpayment reader  in your program  both devices are also displayed and can be selected  but you always get the message no connection to the hardware could be established  what can i do  kind regards oleg gorbadchov ","3"
" dear ladies and gentlemen  take a look at the question and answer on       after all  there are  out of  users whose goal was not achieved  among them also me  i found out the following while looking through at the other customers and through my own observation the problem is indirectly that the section end pointer has disappeared  but it is possible to make it appear again  one moves an object of the sequence so long to the right until the right range pointer is inconspicuous but nevertheless to be recognized  after that the project is usable again like any other  maybe your developers can now track down the bug better  i recommend to fix this bug  since such cries for help are to be read constantly  kind regards ","1"
" when starting the software i get the error message warehouse sales firstclass neo does not work anymore    then i can only close the software via program close  in the background you can see program interface is being set up    but unfortunately it does not go any further  the problem occurred after installing win sp  before that the software started without any problems  a repair attempt under control panelprograms brought no success  the upgrade to version        unfortunately did not help either  i read in a forum that one should rename the file salesfirstclass  ini under cuserskerubinappdataroamingwarehousesalesfirstclasswhultimate so that the program creates a new one  the file is then created but has no content  in the salesfirstclass  log it only says   warehouse sales firstclass wh neo v       started the windows eventlog still says the following levelerror sourceapplication error event id task category general name of the corrupted application salesfirstclass  exe  version         timestamp xefca name of the corrupted module szoiosh  dll  version         timestamp xea exception code xc error offset xb id of malformed routine xef start time of malformed application xabcfb path of malformed application cprogram files xwarehousesalesfirstclasswhultimatesalesfirstclass  exe path of malformed module cwindowssystemszoiosh  dll report identifier cafbdeaedc furthermore  the latest catalyst driver is installed version   from      i would appreciate a quick solution  mfg dennis briluch ","1"
