"Narrative","label"
" zu ticketnr     ist folgende ausrstung gut genug um beim bearbeiten von cwvemx clips ohne stocken durchrechnen zu knnen intel core t prozessor  te gener     ghz   mb intel smart cache  intel hyperthreadingtechnik  ati radeon gtm direct x  angebot mit  mb speicher   gb ddr sdram u  windows  home prem   bit mfg klstera ","1"
" es geht um warehouse  first class emv  leider lie sich das produkt nicht registrieren  scheinbar weil ich auch das programm saeles firstclass  neo registriert habe  trotzdem meine frage  habe einen  mb  emv prozess fertig bearbeitet  mit einer kontrollvorlage versehen  beim brennen meldet das programm schon beim verschlsseln folgende fehlermeldung  wmem reports disk project puild exception v was kann ich machen  dass der fehler behoben wird  im voraus danke ","5"
" seit tagen gibt es probleme mit der specificationsheetvorschau und ich kann das neuespecificationsheet auch nicht freischalten  mein derzeit freigeschaltetes specificationsheet kann ich seit heute auch nicht mehr aufrufen  was ist passiert     vielen dank und liebe gre amrei tritterer ","5"
" laesst sich ablufa im office katalog  auf einem min  rechner richtig installieren  wenn nicht besteht die moeglichkeit eines guenstigeren update zu einer lauffaehigen version  habe erst im sommer  ablufe im office katalog  gekauft nun kann ich es nicht mehr auf meinem neuen rechner installieren  vielen dank fuer ihre hilfe ","4"
" ich habe mein system gewechselt und kann nun nach installation des programms die dateien nicht mehr als exportieren  da der codec nicht verfgbar ist  ","5"
" xls creator fehlercode  ","6"
" gewinnkalkulation bei der funktion gewinnziele bearbeiten ist die eingabe eines kurvennamens in das dafr angebotene graue eingabefenster nicht mglich nach eingabe eines gewinnzieles erscheint folgende fehlermeldung fehler beim parsen der xsldaten  diese fehlfunktion tritt sowohl bei der version  als auch bei der version  auf  dies berrascht uns um so mehr  da bisher in der version  die direkte gewinnzieleingabe mglich war  in beiden versionen klappt die eingabe des gewinnziel und endbudgets ber folgenden umweg durch mehrfaches anklicken vergrern der eingeblendeten bersicht knnen die zielbudgets sowie die sie verbindende kurve angezeigt und abgespeichert werden  dabei mu man aber die akustischen und optischen problemmeldungen ignorieren   ","5"
" installationsproblem asus fehler  ","4"
" mein programm ist salesfirstclass ultimate        es wird keine bestellnummer geschrieben  men salesdateien in den computer einspielen  erstellung bei scanner und tabellen wird keine bestellnummer geschrieben  ich mchte eine direkterstellung mit bestellnummer machen  beliebiger ablauf in der kasse mit bestellnummer ber meinen angeschloenen handscanner zu lesen soll auch mit bestellnummer gschrieben werden  ber die systemsteuerung habe ich alle mglichen konfigurationen ausprobiert  aktiviert  bestellnummernfeld auf maximal gestellt  in der anzeige bevor die erstellung beginnt  wird angezeigt unzureichende erstellungsdaten  alle  angezeigten gerteteiber ausprobiert  ich knnte ihnen auch eine direkterstellung meiner problemlsungsversuche senden  aber nur ohne bestellnummer  mit freundlichen gren ","3"
" mein online gekauftes programm sales firstclassneo download version gekauft am      ist bis auf dasikon und das anfangsbild nach dem aufruf von meinem pc verschwunden  das programm lt sich nicht mehr ffnen  hier meine kaufdetails  wie kann ich das programm wieder verwenden  ","1"
" hallo  ich benutze analysity statistiken studio   wenn ich eine datei durchrechnen will  erscheint folgende fehlermeldung das smartcarddevice microsoft scancreator kann dieses format nicht erstellen  grund die aktuell genutzte gertekennung ist nicht innerhalb des erlaubten bereichs fr ihr system  durchrechnen lsst die datei sich so nicht  was mu ich tun   mit freundlichen gren  frank geiges ","4"
" sehr geehrtes serviceteam  mein warehouse produkte id itofficekatalog  weigert sich eine dvd zu brennen und verlangt immer nach einer aktiviereung fr data  obwohl ich die softwareg bereits registriert habe  angeblich wre diese nummer bereits mit einer anderen emailadresse registriert fehlercode   bitte um ihre untersttzung  danke holger cabret ","6"
" ich habe in den vergangenen monaten mehrere ablufe vom kartenleser eingelesen  bearbeitet und gebrannt  jatzt kommt beim start der brennvorgang die fehlermeldung  brennen wurde unterbrochen  internes problem und der pc ist blockiert und muss erneut hochgefahren werden  ich habe den brennupgrade von der warehouse seite gedownloaded und installiert  nichts hat sich geaendert  bei mehreren versuchen kam immer wieder die gleiche fehlermeldung und der pc war  platt  ","2"
" sehr geehrte damen und herren  zur zeit nutze ich meine software noch unter windows und das ohne probleme und bin hochzufrieden  meine frage nun  gibt es auch eine version fr mac os    gruss karlpeter mausgrau ","4"
" ich habe meine produktpreview mit  dateien versucht zu brennen  es wurde eine fehlermeldung ausgegeben wmem reports disc project build exception f verschlsseln des ablaufs fehlgeschlagen  nachdem ich die empfohlene hilfestellung ohne ablaufund kapiteldarstellung zu brennen realisiert habe  wurde mir wieder die mitteilung gemacht  dass das verschlsseln fehlgeschlagen ist  kann es vielleicht sein  das die produktpreviewversion  first class die auf dem gleichen rechner installiert ist  die ursache dieser probleme sein knnte  mitlerweile wei ich mir keinen rat mehr   ","5"
" ich habe einen neuen rechner von hp mit brenner gekauft  habe das programm produkte im it und office katalog  first class aufgespielt und ein projekt erstellt  als ich auf brennen einer dvddrckte  erschien ein blttchen kein brenner gefunden  was kann ich tun  ","2"
" ich habe mit der vorgaenderversion einen ablauf erstellt  diesen lade ich ueber   dds  er wird in der bersicht ordnungsgemaess angezeigt  beim versuch  im previewfenster anzuzeigen  wird folgender hinweis eingeblendet das smartcarddevice nonekann dieses format nicht ausfhren  die aktuell genutzte geraetekennung ist nicht innerhalb des erlaubten bereichs fuer ihr system was muss ich tun  ","4"
" beim brennen auf dvd wird mein brenner beim brennvorgang nicht angezeigt  ich kann nicht brennen  warum  ","2"
" nachdem ich am      ihre mail bekam und nach mehreren erfolglasen umbauversuchen an meinem rechner grafikkarte  soundkarte usw  nicht weiterkam  habe ich mir bei der firma arlt einen neuen computer mit  prozessoren gekauft  aber das problem das ich vorher hatte ist immer noch daflackernde berechnung  ich weiss mir jetzt nicht mehr zu helfen  auch mein pc fachmann ist mit seinem latein am ende  wir haben die verschiedenen konfigurationen des programms sales firstclass emv probiert  aber keinen erfolg erzielt  ich denke mal  am rechner kann es doch jetzt nicht mehr liegen  oder  ich hoffe sie knnen mir helfen  mit freundlichen gren  michael krger ","1"
" ich habe die downloadversion von sales firstclass  ultimate emv    wie kann das programm sowie die zusatzprogramme auf dvd brennen bzw  wie kann ich die zusatzprogramme instalieren  ich werde immer aufgefordert die orginal cd einzulegen       ","6"
" hallo ans team  ich bin immer noch begeisterter anwender des sfc  neo  daher brauche ich normalerweise keine neue version  neugierig geworden habe ich jetzt die neueste version aufgespielt  leider kann ich wie bislang problemlos mglich keine casherstellungen im datverfahren importieren  die bestellnummernzeile bleibt leer zdaufnahmen funktionieren  stellige bestellnummern importiert er nur als ascii was natrlich bei cwvemxdateien mit stelliger bestellnummer wie von solarmobiledatenscannern katastrophal ist   was mache ich verkehrt  bei sfc  war alles problemlos mglich   natrlich kein cwvemxdateiimport herzlichen dank fr eine antwort und nochmals glckwunsch zum wirklich fantastiscvhen sfc    beste gre emil bagg ","3"
" seit der letzten woche habe ich sales firstclass wh premium spezialedition installiert  mein problem ist nun das importierte ablufe im programm nur stockend angezeigt werden  exportiere ich den ablauf in eine datei  wird diese datei in den anderen programmen  z  b  paymentreader  angezeigt  ist das stocken auch hier zu sehen  die originaldatei wird sauber wiedergegeben  ","1"
" nach dem rckladen eines systembackups oswindows bit meldet salesfirstclass  neo  dass die testzeit abgelaufen ist  obwohl ich gltige seriennummer habe t auch eine neueingabe dieser seriennummer fhrt zum gleichen ergebnis  wie kann ich mein salesfirstclass wieder aktivieren  bitte dringend antworten  da ich eine dvd fr eine teamsitzung anfertigen muss  mit freundlichen gren richard wagner ","6"
" sehr geehrte damen und herren  ich habe ein problem beim anwenden von skripten  sobald ich diese einfge  und mir den prozess bzw  den auftrag erneut ansehe  passt die bestellnummer nicht mehr zu den daten und an das ende dieses auftrags wird der anfang des auftrags hngend fr ein paar prozessschritte abgebildet  ich habe data dateinen  danke schonmal fr eine antwort  mfg ","3"
" sehr geehrte damen und herren  ich mchte heute direkt um ihre hilfe bitten  ich arbeite seit langem mit ihrer software  habe auch schn treu ihre nicht zu wenig angebotenen produktaktualisierungen bei ihnen erworben  jetzt aktuell mit der o  g  software  ihre art die software aufzubauen gellt mir schon sonst wrde ich es nicht kaufen  jedoch jetzt bin ich etwas frustriert  in ihrer werbung steht  dass man eine produktpreview als prozess exportieren kann  gespeichert unter warehouse auf eine sdkarte kopieren kann und dann auf einem externen prsentationsgert anzeigen kann  nun habe ich ein gert gomer sv bei dem der hersteller verspricht folgende prozessformate abzuspielen  prc  crv date    auch ist ein beispielprozess im format  dat auf dem internen speicher drauf  jedoch bin ich nicht in der lage meine produktpreviews dort abzuspielen er erkennt nur produkte  wenn ich einen testprozess draufkopiere erkennt er es zwar als prozesssymbol aber er sagt der typ wird nicht untersttzt  nach einiger zeit in ihrem forum  auch mit guten antworten  komme ich nicht vorwrts  es wird mir immer gesagt ich soll entschlsselungsverfahren suchen die stehen in der bedienungsanleitung jedoch nicht bei meinem prsentationsgert  ich bitte sie wirklich um ihre hilfe  wenn es geht mit einer detailierten anweisung  wie ich es machen kann  nun machen sie werbung mit ihren prsentationsgerten in verbindung mit einem programm  geht es bei diesem gert auch wirklich  nun zu meiner arbeitsweise ich mchte lediglich auf dem prsentationsgert einige produkte als prozess zeigen mit eingesetztem text und produktdaten  meine groen produktpreviews mchte ich dann schon am beamer abspielen knnen  also auf dvd  ich arbeite mit dem program produktmanager  vollversion oder auch mit der version digitaler produktmanager  war mit auf dem programm produkt im it  office katalog firstclass und dort werden auch die  prc prozesse angezeigt  was wiederum auf dem er nicht geht  ich wrde mich schon freuen  wenn sie mir antworten und mir auch helfen um endlich dieses problem  was mich schon stundenlang nchte gekostet hat beenden knnen  oder mu ich schon wieder ein neues prsentationsgert kaufen  ","5"
" guten tag  ich habe mir einen neuen prozesskartenleser von systech gekauft und hatte in der anfangsphase schwierigkeiten  die bestellnummer im programm  ablufe im office katalog   mit zu bertragen  die installation der  downloadversion von ablufe im office katalog   brachte abhilfe  die bestellnummer kam mit  a b e r sowohl auf  ablufe im office katalog    der  downloadversion von ablufe im office katalog    als auch auf downloadversion von  sales first class   sind die bestellnummern nur teilweise synchron  in der anfangsphase scheinen sie synchron zu sein  im laufe eines prozesses ndert sich das aber  gleichfalls stellt ich fest  dass die bestellnummern sofort unsynchron werden  wenn der prozess bearbeitet wird  bitte helfen sie mir  abhilfe zu schaffen  ","3"
" sehr geehrte damen und herren  im mai  kaufte ich ihre software warehouse produkt ultimate unknown tdzdbfd   ich habe auf meinem rechner ein upgrade von vista auf windows  ausgefhrt und kann nun das warehouse produktprogramm nicht mehr installieren  wie kann ich dieses problem beheben ohne wieder ein komplett neues programm zu erwerben  mit freundlichen gren ","4"
" hallo  ich wollte eine dvd mir der brennvorgang cwvemx brennen  nach dem  schritt ist der brennvorgang unterbrochen mit folgendem hinweis wmem reports disc project build exception a verschlisseln fehlgeschlagen  ich bitte um ihre hilfe schoene gruesse ","2"
" beim starten der software bekomme ich die fehlermeldung warehouse sales firstclass neo funktioniert nicht mehr    dann kann ich nur noch ber programm schlieen die software beenden  im hintergrund ist zu sehen programmoberflche wird eingerichtet    aber leider geht es nicht weiter  das problem ist nach der installation der win sp aufgetreten  zuvor startete die software problemlos  ein reparaturversuch unter systemsteuerungprogramme brachte keinen erfolg  das upgrade auf die version        half leider auch nicht  in einem forum habe ich gelesen  dass man die datei salesfirstclass  ini unter cuserskerubinappdataroamingwarehousesalesfirstclasswhultimate umbenennen soll  damit das programm eine neue erstellt  die datei wird dann angelegt  hat aber keinen inhalt  in der salesfirstclass  log steht nur   warehouse sales firstclass wh neo v       started im windows eventlog steht noch folgendes ebenefehler quelleapplication error ereignisid aufgabenkategorie allgemein name der fehlerhaften anwendung salesfirstclass  exe  version         zeitstempel xefca name des fehlerhaften moduls szoiosh  dll  version         zeitstempel xea ausnahmecode xc fehleroffset xb id der fehlerhaften routine xef startzeit der fehlerhaften anwendung xabcfb pfad der fehlerhaften anwendung cprogram files xwarehousesalesfirstclasswhultimatesalesfirstclass  exe pfad des fehlerhaften moduls cwindowssystemszoiosh  dll berichtskennung cafbdeaedc des weiteren ist der neueste catalysttreiber installiert version   vom      ich wrde mich ber eine schnelle lsung freuen  mfg dennis briluch ","1"
" habe warehouse sales firstclass auf meinen neuen pc aufgespieltwindows   warehouse ld nun keine prcdateien  die ich mit meinem scanixkartenleser gemacht habe und auf meinem vorigen pc ohne problemein in warehouse sales firstclass  neo zu laden waren  habe in einem helpdesk gefunden  dass man workittool installiert haben muss  habe dies runtergeladen  klappt jedoch immer noch nicht  ","5"
" halo  vielen dank fr ihre antwort  jedoch das problem ist noch nicht gelst  im erstellungsdialog auf erweiterte einstellungen erscheint bei mir als scanquelle weder  noch  device  im gertemanager ist hinter der komponente usb  device ein gelbes fragezeichen  unter eigenschaften fr dieses gert steht die treiber fr dieses gert konnten nicht installiert werden  code  ich habe von ihrer seite schon die datei warehouseusbprozessverwaltergelbweissde  zip heruntergeladen und mit angeschlossenen prozessverwalter ausgefhrt  kein ergebnis  was schlagen sie vor  mfg u  fllisch warehouse helpdesk schrieb guten abend  vielen dank  dass sie uns kontaktiert haben  bitte probieren sie einmal folgendesklicken sie im erstellungdialog auf erweiterte einstellungen  hier sollte als scanquelle  bzw   device ausgewhlt sein  wechseln sie bitte auf einen beliebigen anderen treiber  jetzt stellen sie wiederum  device ein  prfen sie  ob die erstellung nun funktioniert  falls dies nicht funktioniert  schlieen sie den usbprozessverwalter am rechner an und fhren sie bitte das diagnoseprogramm aus  welches sie unter folgendem link downloaden knnenes erklrt sich von selbst und findet sich hierklicken sie auf den link und whlen sie bitte ffnen  sofern sie ein weiteres malgefragt werden  whlen sie bitte die software vom aktuellen ortausfhren  wahlweise knnen sie die datei auch auf ihrem rechnerabspeichern und nachfolgend ausfhren  sie sollten vor dem prfen alle programme beenden  auch die von warehouse  vergessen sie bitte keinesfalls ihr ursprngliches anliegen umfassend zubeschreiben  bitte die handlungen bis dieser fehler auftaucht ebenfallsgenaustens auffhren  eine lsung wird somit naturgem erheblichvorangetrieben  der syscare untersucht ihr system und fasst die informationen zusammen  er nimmt keine modifikationen an ihrem computer vor  sondern fragt lediglich standardsysteminformationen ab und fhrt leistungstests durch  dieser prozesskann bis zu zwei stunden dauern  syscare verwendet zum prfenausschlielich windowskomponenten  dennoch knnen bei einemdefekten system fehler auftreten  falls der syscare durch fehler abstrzen sollte ist das nicht problematisch  syscare wird sie in diesem fall beim nchsten mal fragen ob die berprfungwiederholt werden soll  klicken sie dann auf nein oder sie warteneinfach ab  klicken sie bitte nur auf ja  falls sie diekonfigurationen oder treiber nach der anleitung ihreshelpdeskmitarbeiters berichtigt haben  am ende des syscares haben sie die mglichkeit sich den inhaltdarstellen zu lassen  sie knnen somit selbst berprfen  welche informationengesammelt wurden  falls der zielrechner kein internet besitzt  wird ihnen angebotenwerden das ergebnis zu speichern  in diesem fall schicken sie die dateibitte anderweitig an uns zurck  mit freundlichen grenoliver krauth  bei verndertem betreff kann ihre mail leider nicht einsortiert  werden  verwenden sie bitte die antwortfunktion ihres mail programmes ohne den betreff zu verndern   warehouse software gmbholiver krauthhelpdeskmanagerpostfach  leipzigtel  helpdesk deutschland     euromin  tel  helpdesk sterreich    euromin  tel  helpdesk schweiz     chfmin    b  managing boardtheo malkener  helmut honig  florian raushinweis dies ist eine vertrauliche nachricht und nur fr denadressaten vorgesehen  es ist nicht erlaubt  diese nachricht zu vervielfltigen oder dritten zukommen zu lassen  bitte verwenden sie auch unsere mitgelieferten anleitungsvideos diese erklren die wichtigsten arbeitsschritte  sie finden sie im hilfemen ihres systems auffindbar  weitere ausknfte bekommen sie unter tipps und tricks auf unsererhelpdeskseite   schriebbei der bertragung von der liste auf den pc habe ich zwar alle datenaber keine bestellnummer  obwohl beide scandisplays mehrere werte anzeigen  der pc ist mitdem prozessscanner ber usbprozessverwalter und klinkekabel verbunden  betriebssystemxp ","4"
" beim aufspielen von produkte im office katalogwh bekomme ich folgende fehlermeldung bei der umwandlun ihres produktdatenspeichers ist ein fehler augetreten ","4"
" wie kann man den foto organizer  unbegrenzt verwenden  es wird immer eine ende der demophase angezeigt  ","6"
" crvimport ohne bestellnummer ","3"
" hallo warehouse  bei der erstellung einer artikelvorschau  produkte  lt sich der endzeiger nicht platzieren  der startzeiger wird angezeigt  aber bei der vorschau beginnt die anzeige der daten immer vom ersten eintrag an  setzt man den startzeiger an eine beliebige stelle und startet die vorschau  bernimmt er die funktion des endzeigers  ","1"
" nach meinem computerabsturz habe ich das programm warehouse produkte im it u  office katalog  first class erneut installieren ssen  bei der regisitrierung habe ich versehentlich eine andere emailadresse von mir angegeben  nunmehr kommt stets die meldung software ist bereits unter einer anderen eamiladresse angemeldet  in meinem persnlichen account ist das programm aucvh nicht mehr gelistet  die sooftware lt sich starten und benutzen  ein update kann aber nicht ddurchgefhrt werden  da eine registrierung verlangt wird  die ich dann aber nicht wieder abschlieen kann  da die fehlermeldung von neuem auftritt  ","6"
" sehr geehrte damen und herren  leider kann ich ber ihre internetseite die frage nicht stellen  aber ich habe doch ein problem mit ihrer software produkt im itoffice katalog firstclass  ich besitze schon eine lngere zeit ihre softwares  jetzt habe ich einen neuer rechner bekommen mit windows  habe dort das programm  produkt im itoffice katalog firstclass installiert und mchte jetzt die artikelpreview auf eine dvd brennen und erhalte eine fehlermeldung wmem reports disc project build exception f damit kann ich nichts anfangen  knnen sie mir helfen  es wre schade wenn ich ihre software nicht mehr nutzen knnte  mit freundlichen gren ","5"
" ablaufzeile stimmt nicht mit der bestellnummernzeile berein  das heisst  wenn ich den ablauf von meinem kartenlesegert systech xcd ltfsg bertrage  dann stimmt die bestellnummernzeile nicht mehr mit der datenzeile berein  es erscheinen auch viele leere ablaufprozesse  weil die daten noch nicht fertig sind  ich probiere ihnen ein stck ablauf anzuhngen  es ist ein bischen unzusammenhngend  aber dieses produkt zeigt  dass es nicht die richtige nummer hat  wir haben schon mehrere male miteinander komuniziert  freundlich grsst ","3"
" sehr geehrte damen und herren  seit einiger zeit bin ich nutzer von sales firstclass  ultimate  bei der anwendung des programms kommt es jedes mal zu fehlern bei den zusatzfunktionen von auto sort sd  die fehlerprotokolle habe ich meist auch zugesendet  dies ist natrlich bei der arbeit mit dem programm sehr rgerlich und nicht gerade produktiv     eine funktion getright ist so fehlerhaft  das nicht einmal ein ausgang x installiert ist  einmal die funktion aufgerufen  geht sie nicht wieder weg  man kann dann nur noch den computer herunterfahren und neu starten     das projekt ist dann natrlich bis zum letzten speicherpunkt weg  sehr rgerlich     was knnen sie mir anbieten  damit das programm in zukunft funktioniert und ich bei der anwendung mehr lust als frust habe    schlielich kam mich die software stolze   und ihre werbung fr diese software und deren leistung ist ziemlich rosarot gestaltet     als quellmaterial nutze ich eigene artikel und prozesse wdt  dat statistikdateien auch eigene von usb auf windos paymentreaderoder artikelpreviewstatistiken aus dem warehouseprogramm  mein computer verfhgt ber windos  mit freundlichen gren und auf baldige antwort hoffend ","1"
" eine installation unter windows  ist nicht moeglich  ","4"
" hallo zusammenich habe mir einen neuen pc gekauft in der hoffung das es mit der berechnung besser wird  aber zuerst die vorgeschichte     zuvor hatte ich sales firstclass  neo mit einem intel proton quad core    ghz und bit windows xp   gb ram ati radeon tg mit mb  wd festplatte mit  gb  verkaufsablufe eines bullseye f importiert oder auch eines systech mtxct cwvemx kartenlesers  das programm und der rechenvorgang startet sofort  danach mach ich parameterkorrekturen an diesem prozess  etwas rundung weg und lass es wieder durchrechnen und in der vorschau stockt es etwas    ok  nach dem export ist es natrlich nicht mehr  nun war ich also shoppen  kauf mit einen amd phantomtm iii o t processor mit    kernen bit windows  prof   eine ati radeon hzc  in  gig ddr ram   gb ddr ram auf einem asus formula striker ii  dampf genug das windows den leistungindex auf    festsetzt  was aber an der ssh festplatte liegt  der rest liegt bei     das sollte wirklich ausreichen fr prozesscalculating in highspeed mit etwas rundung  leider funktioniert die  neo version von sales firstclass nicht mehr  also ab in den shop  nun kauf ich das neue sales firstclass  ultimate emv inkl  stylisher bb zusatzversion und installiere es auf der ssd festplatte    alles superschnell und es geht nur ab als gbe es keinen morgen mehr  das programm installiert sich so schnell das ich euphorisch fast vom stuhl gekippt bin  nun der grosse test    prozess aus der  version laden    geht    durchrechnen mittels leertaste    und es passiert genau garnix  es dauert und dauert und ich entdecke unten einen grnen kleinen unaufflligen balken den ich nur kenne wenn der prozess exportiert wird  ich wollte nicht xportieren  ich wollte nur einen blick auf die preview werfen     pltzlich geht die berechnung los   es stockt   obwohl keine weiteren funktionen verwendet wurden und als dann der auftrag mit den funktionen kommt steht das programm fast fest  das ich nach dem erlebniss nicht gleich bei der hotline anrief lag daran das es samstag abend war  ich fhl mich gerade total verarscht  und ber tausend flocken alleine fr die hardware und der alte rechner ist schneller  ist das der fortschritt oder was mache ich falsch  da ich das ganze semiprofessionell betreibe kann ich mir gerade das herumprobieren und basteln nicht wirklich leisten  ich arbeite auf dem alten system und rgere mich das dies einfach nur funktioniert und ich soviel geld verblasen habe dafr das nichts schneller geht  wo liegt der fehler  wird amd kathegorisch nicht untersttzt  oder sind  gb zu langsam   kerne a  ghz zu lahm  der arbeitsspeicher zu mager   ich brauche jetzt hilfe und fachmnnische informationen  es kann nicht sein das man den neuesten prozessor und das zackigste zockerborad nimmt und dann schlechter da steht als vorher  achja  dmark lft ca  mal schneller als auf dem alten rechner  es ist schon so das der rechner wirklich schneller luft  aber salesfirstclass geht mal garnicht mehr  warum  ich danke schonmal fr die erklrungen und ratschlge die zum erfolg fhren  damit ich morgens auch wieder mit nem lcheln aufstehen kann gruss aus der ch  emilio ","1"
" ich benutze heute zum mal die gewinnkalkulation im produkt ultimate   und es geht nicht  beim programm starten und das gewinnziel eigeben kommt nach return immerfehler beim parsen der xsl daten  habe dieses programm noch nie benutzt  schon rgerlich  ","5"
" beim installieren vom dvd treiber warehouse dvdprozessverwalter  gelbweisses geraet kommt folgende fehlermeldung   unable to finish instullation  der treiber wird nicht installiet  wie kann ich das problem beseitigen  fuer eine schnelle antwort  waere ich ihnen sehr dankbar  mfg john quillinger ","4"
